timestamp,game_result_id,user_id,node_id,individual_score,submission_success,status
2025-09-13 15:53:53,b084d800-5fca-4a10-b828-5852a94d9376,a282187b-008f-4382-ac29-8d24df5f77fc,1,56,,pre_submission
2025-09-13 15:53:53,b084d800-5fca-4a10-b828-5852a94d9376,3bd59d54-fb79-49f9-82ce-6d868224afb2,2,57,,pre_submission
2025-09-13 15:53:53,b084d800-5fca-4a10-b828-5852a94d9376,20f9e564-30c7-4364-bcf1-a6d8d5688814,3,51,,pre_submission
2025-09-13 15:53:53,b084d800-5fca-4a10-b828-5852a94d9376,49b855d9-dffb-406a-95c1-edfe7dcd6fa7,4,7,,pre_submission
2025-09-13 15:53:53,b084d800-5fca-4a10-b828-5852a94d9376,a282187b-008f-4382-ac29-8d24df5f77fc,1,56,True,submitted_success
2025-09-13 15:53:53,b084d800-5fca-4a10-b828-5852a94d9376,3bd59d54-fb79-49f9-82ce-6d868224afb2,2,57,True,submitted_success
2025-09-13 15:53:53,b084d800-5fca-4a10-b828-5852a94d9376,20f9e564-30c7-4364-bcf1-a6d8d5688814,3,51,True,submitted_success
2025-09-13 15:53:53,b084d800-5fca-4a10-b828-5852a94d9376,49b855d9-dffb-406a-95c1-edfe7dcd6fa7,4,7,True,submitted_success
2025-09-13 16:00:55,ed8d109f-7fe1-448e-94c7-02548f57a129,a282187b-008f-4382-ac29-8d24df5f77fc,1,74,,pre_submission
2025-09-13 16:00:55,ed8d109f-7fe1-448e-94c7-02548f57a129,3bd59d54-fb79-49f9-82ce-6d868224afb2,2,95,,pre_submission
2025-09-13 16:00:55,ed8d109f-7fe1-448e-94c7-02548f57a129,20f9e564-30c7-4364-bcf1-a6d8d5688814,3,96,,pre_submission
2025-09-13 16:00:55,ed8d109f-7fe1-448e-94c7-02548f57a129,49b855d9-dffb-406a-95c1-edfe7dcd6fa7,4,94,,pre_submission
2025-09-13 16:00:56,ed8d109f-7fe1-448e-94c7-02548f57a129,a282187b-008f-4382-ac29-8d24df5f77fc,1,74,True,submitted_success
2025-09-13 16:00:56,ed8d109f-7fe1-448e-94c7-02548f57a129,3bd59d54-fb79-49f9-82ce-6d868224afb2,2,95,True,submitted_success
2025-09-13 16:00:56,ed8d109f-7fe1-448e-94c7-02548f57a129,20f9e564-30c7-4364-bcf1-a6d8d5688814,3,96,True,submitted_success
2025-09-13 16:00:56,ed8d109f-7fe1-448e-94c7-02548f57a129,49b855d9-dffb-406a-95c1-edfe7dcd6fa7,4,94,True,submitted_success
2025-09-13 17:05:35,85574aeb-5e47-433d-abd0-ce8c0623aee1,a282187b-008f-4382-ac29-8d24df5f77fc,1,70,,pre_submission
2025-09-13 17:05:35,85574aeb-5e47-433d-abd0-ce8c0623aee1,3bd59d54-fb79-49f9-82ce-6d868224afb2,2,64,,pre_submission
2025-09-13 17:05:35,85574aeb-5e47-433d-abd0-ce8c0623aee1,20f9e564-30c7-4364-bcf1-a6d8d5688814,3,13,,pre_submission
2025-09-13 17:05:35,85574aeb-5e47-433d-abd0-ce8c0623aee1,49b855d9-dffb-406a-95c1-edfe7dcd6fa7,4,83,,pre_submission
2025-09-13 17:05:35,85574aeb-5e47-433d-abd0-ce8c0623aee1,a282187b-008f-4382-ac29-8d24df5f77fc,1,70,True,submitted_success
2025-09-13 17:05:35,85574aeb-5e47-433d-abd0-ce8c0623aee1,3bd59d54-fb79-49f9-82ce-6d868224afb2,2,64,True,submitted_success
2025-09-13 17:05:35,85574aeb-5e47-433d-abd0-ce8c0623aee1,20f9e564-30c7-4364-bcf1-a6d8d5688814,3,13,True,submitted_success
2025-09-13 17:05:35,85574aeb-5e47-433d-abd0-ce8c0623aee1,49b855d9-dffb-406a-95c1-edfe7dcd6fa7,4,83,True,submitted_success
